,result idx,result mask idx,comparison result idx,comparison result mask idx,x distance,y distance,x distance per frame,shape * similarity
187,15,0,16,0,-75.0747250952447,63.85919905696221,75.0747250952447,92.59301
188,15,0,18,0,-211.26078953679243,44.782923690445216,70.42026317893081,47.77216
189,15,0,20,0,-13.734094845988032,50.65064885368713,2.7468189691976064,51.081726
190,15,0,20,1,-328.421406832996,-26.625003751277006,65.68428136659921,56.493732
191,15,0,21,0,-88.70856926802722,20.69333385586782,14.784761544671204,48.846603
192,15,0,22,0,-153.45402468733872,82.587431765757,21.922003526762673,52.387283
193,15,0,23,0,-215.12870959321177,69.42448065710414,26.89108869915147,65.65834
194,15,0,23,1,-62.035459444449536,277.6522876864067,7.754432430556192,90.945015
195,15,1,16,0,262.6097752450489,9.98459487468682,262.6097752450489,5.274228
196,15,1,18,0,126.4237108035012,-9.091680491830175,42.1412369345004,9.357084
197,15,1,20,0,323.9504054943056,-3.2239553285882607,64.79008109886112,10.174779
198,15,1,20,1,9.263093507297583,-80.4996079335524,1.8526187014595166,5.8406796
199,15,1,21,0,248.9759310722664,-33.18127032640757,41.4959885120444,7.7611675
200,15,1,22,0,184.2304756529549,28.712827583481612,26.31863937899356,5.6925488
201,15,1,23,0,122.55579074708186,15.54987647482875,15.319473843385232,6.4204254
202,15,1,23,1,275.6490408958441,223.77768350413126,34.456130111980514,21.332045
203,16,0,18,0,-136.18606444154773,-19.076275366516995,68.09303222077386,24.001287
204,16,0,20,0,61.34063024925666,-13.208550203275081,15.335157562314166,23.711021
205,16,0,20,1,-253.34668173775134,-90.48420280823922,63.336670434437835,48.77209
206,16,0,21,0,-13.633844172782517,-43.16586520109439,2.7267688345565033,18.264252
207,16,0,22,0,-78.37929959209401,18.728232708794792,13.063216598682336,18.035799
208,16,0,23,0,-140.05398449796706,5.56528160014193,20.00771207113815,22.894676
209,16,0,23,1,13.039265650795159,213.79308862944444,1.8627522358278799,15.7715435
210,16,0,24,0,-203.80634166137094,19.21617794827506,25.475792707671367,0.4020595
211,18,0,20,0,197.5266946908044,5.867725163241914,98.7633473454022,16.270817
212,18,0,20,1,-117.16061729620361,-71.40792744172222,58.580308648101806,29.66404
213,18,0,21,0,122.55222026876521,-24.089589834577396,40.850740089588406,8.218545
214,18,0,22,0,57.806764849453714,37.80450807531179,14.451691212363428,12.948634
215,18,0,23,0,-3.8679200564193366,24.641556966658925,0.7735840112838673,18.884459
216,18,0,23,1,149.2253300923429,232.86936399596144,29.84506601846858,17.026937
217,18,0,24,0,-67.62027721982321,38.292453314792056,11.270046203303869,25.452389
218,18,0,25,0,188.24155379305108,18.647693882040528,26.89165054186444,12.583595
219,18,0,25,1,-122.97035136168529,-133.3299972108956,17.567193051669328,9.197201
220,18,0,26,0,118.11513884167772,53.39663263760656,14.764392355209715,17.51305
221,20,0,21,0,-74.97447442203918,-29.95731499781931,74.97447442203918,6.9137464
222,20,0,22,0,-139.71992984135068,31.936782912069873,69.85996492067534,6.846953
223,20,0,23,0,-201.39461474722373,18.77383180341701,67.13153824907458,7.2770452
224,20,0,23,1,-48.301364598461504,227.00163883271952,16.100454866153836,6.523495
225,20,0,24,0,-265.1469719106276,32.42472815155014,66.2867429776569,15.245749
226,20,0,25,0,-9.285140897753294,12.779968718798614,1.857028179550659,7.7837787
227,20,0,25,1,-320.4970460524897,-139.19772237413753,64.09940921049794,11.491273
228,20,0,26,0,-79.41155584912667,47.528907474364644,13.235259308187779,9.727857
229,20,0,27,0,-142.2131556850585,23.860450815529873,20.3161650978655,8.9895
230,20,0,28,0,-203.12660823085014,0.5815749245253414,25.390826028856267,9.171778
231,20,1,21,0,239.71283756496882,47.31833760714483,239.71283756496882,23.376978
232,20,1,22,0,174.96738214565733,109.21243551703401,87.48369107282866,18.425533
233,20,1,23,0,113.29269723978427,96.04948440838115,37.764232413261425,19.719088
234,20,1,23,1,266.38594738854647,304.27729143768363,88.79531579618215,47.677917
235,20,1,24,0,49.5403400763804,109.70038075651428,12.3850850190951,24.824871
236,20,1,25,0,305.4021710892547,90.05562132376275,61.080434217850936,16.482601
237,20,1,25,1,-5.809734065481678,-61.92206976917339,1.1619468130963355,12.21447
238,20,1,26,0,235.27575613788133,124.80456007932878,39.212626022980224,15.030746
239,20,1,27,0,172.4741563019495,101.13610342049401,24.639165185992788,20.320444
240,20,1,28,0,111.56070375615786,77.85722752948948,13.945087969519733,23.124617
241,21,0,22,0,-64.7454554193115,61.89409790988918,64.7454554193115,2.6409922
242,21,0,23,0,-126.42014032518455,48.73114680123632,63.210070162592274,6.654878
243,21,0,23,1,26.673109823577676,256.9589538305388,13.336554911788838,8.722322
244,21,0,24,0,-190.17249748858842,62.38204314936945,63.39083249619614,14.467519
245,21,0,25,0,65.68933352428589,42.737283716617924,16.42233338107147,6.1030645
246,21,0,25,1,-245.5225716304505,-109.24040737631822,61.380642907612625,7.5577946
247,21,0,26,0,-4.437081427087492,77.48622247218395,0.8874162854174983,9.167873
248,21,0,27,0,-67.23868126301932,53.81776581334918,11.206446877169887,5.777775
249,21,0,28,0,-128.15213380881096,30.53888992234465,18.307447686972996,3.6270332
250,21,0,29,0,-188.48655926290616,-9.017222710114197,23.56081990786327,3.90633
251,21,0,29,1,111.60273697179477,-7.217617622512591,13.950342121474346,3.4809225
252,22,0,23,0,-61.67468490587305,-13.162951108652862,61.67468490587305,3.3867319
253,22,0,23,1,91.41856524288917,195.06485592064965,91.41856524288917,11.794241
254,22,0,24,0,-125.42704206927692,0.48794523948026836,62.71352103463846,9.89695
255,22,0,25,0,130.43478894359737,-19.15681419327126,43.47826298119912,3.9313793
256,22,0,25,1,-180.777116211139,-171.1345052862074,60.25903873704633,7.404811
257,22,0,26,0,60.308373992224006,15.59212456229477,15.077093498056001,6.4416018
258,22,0,27,0,-2.493225843707819,-8.07633209654,0.4986451687415638,5.1664176
259,22,0,28,0,-63.40667838949946,-31.35520798754453,10.567779731583244,2.5955014
260,22,0,29,0,-123.74110384359466,-70.91132062000338,17.67730054908495,4.6258054
261,22,0,29,1,176.34819239110627,-69.11171553240177,25.192598913015182,5.656319
262,22,0,30,0,-183.07300782846926,-59.93612211350057,22.884125978558657,4.421257
263,22,0,30,1,98.1690736513848,-2.3343284801322284,12.2711342064231,1.5561589
264,23,0,24,0,-63.75235716340387,13.65089634813313,63.75235716340387,11.75668
265,23,0,25,0,192.10947384947042,-5.993863084618397,96.05473692473521,3.561167
266,23,0,25,1,-119.10243130526595,-157.97155417755454,59.551215652632976,9.030382
267,23,0,26,0,121.98305889809706,28.755075670947633,40.661019632699016,4.351829
268,23,0,27,0,59.18145906216523,5.0866190121128625,14.795364765541308,3.9914086
269,23,0,28,0,-1.731993483626411,-18.19225687889167,0.34639869672528223,4.7476625
270,23,0,29,0,-62.06641893772161,-57.74836951135052,10.344403156286935,8.784453
271,23,0,29,1,238.02287729697932,-55.94876442374891,39.670479549496555,9.603355
272,23,0,30,0,-121.39832292259621,-46.77317100484771,17.342617560370886,2.9959319
273,23,0,30,1,159.84375855725784,10.828622628520634,22.834822651036834,4.2922144
274,23,0,31,0,95.74926523019386,-34.19943564488,11.968658153774232,7.7066474
275,23,1,24,0,-216.8456073121661,-194.57691068116938,216.8456073121661,31.642773
276,23,1,25,0,39.01622370070821,-214.2216701139209,19.508111850354105,17.139256
277,23,1,25,1,-272.1956814540282,-366.199361206857,136.0978407270141,18.06916
278,23,1,26,0,-31.110191250665167,-179.47273135835488,10.370063750221723,22.15115
279,23,1,27,0,-93.91179108659699,-203.14118801718965,23.477947771649248,14.994851
280,23,1,28,0,-154.82524363238863,-226.42006390819418,30.965048726477725,11.022679
281,23,1,29,0,-215.15966908648383,-265.976176540653,35.85994484774731,12.498392
282,23,1,29,1,84.9296271482171,-264.17657145305145,14.154937858036183,5.89365
283,23,1,30,0,-274.4915730713584,-255.00097803415022,39.21308186733692,12.499744
284,23,1,30,1,6.750508408495634,-197.39918440078188,0.9643583440708048,12.709892
285,23,1,31,0,-57.34398491856837,-242.4272426741825,7.167998114821046,8.1995735
286,24,0,25,0,255.8618310128743,-19.644759432751528,255.8618310128743,12.137415
287,24,0,25,1,-55.35007414186208,-171.62245052568767,55.35007414186208,4.32884
288,24,0,26,0,185.73541606150093,15.104179322814502,92.86770803075046,13.493064
289,24,0,27,0,122.9338162255691,-8.564277336020268,40.97793874185637,14.203648
290,24,0,28,0,62.02036367977746,-31.8431532270248,15.505090919944365,13.027474
291,24,0,29,0,1.6859382256822641,-71.39926585948365,0.33718764513645283,16.93114
292,24,0,29,1,301.77523446038316,-69.59966077188204,60.35504689207663,16.139563
293,24,0,30,0,-57.645965759192336,-60.42406735298084,9.60766095986539,13.039219
294,24,0,30,1,223.59611572066171,-2.8222737196124967,37.26601928677695,9.892602
295,24,0,31,0,159.50162239359773,-47.85033199301313,22.785946056228248,15.558563
296,24,0,32,0,92.61000570290528,-40.84864238844136,11.57625071286316,14.882844
297,24,0,32,1,287.94348048004696,-163.92959611657682,35.99293506000587,3.7709734
298,25,0,26,0,-70.12641495137338,34.74893875556603,70.12641495137338,4.268364
299,25,0,27,0,-132.9280147873052,11.08048209673126,66.4640073936526,0.97793233
300,25,0,28,0,-193.84146733309683,-12.198393794273272,64.61382244436561,3.232096
301,25,0,29,0,-254.17589278719203,-51.75450642673212,63.54397319679801,4.55844
302,25,0,29,1,45.91340344750888,-49.954901339130515,11.47835086187722,8.371611
303,25,0,30,0,-313.5077967720666,-40.779307920229314,62.70155935441333,3.2440364
304,25,0,30,1,-32.265715292212576,16.82248571313903,6.453143058442516,3.6911876
305,25,0,31,0,-96.36020861927658,-28.2055725602616,16.06003476987943,6.8047366
306,25,0,32,0,-163.25182530996904,-21.203882955689835,23.321689329995575,6.40748
307,25,0,32,1,32.081649467172646,-144.2848366838253,4.583092781024663,30.109581
308,25,0,33,0,-228.09857392918076,-20.44070306717299,28.512321741147595,5.75322
309,25,0,33,1,-22.401921918914653,-15.197718722383854,2.8002402398643316,133.18208
310,25,1,26,0,241.085490203363,186.72662984850217,241.085490203363,9.755679
311,25,1,27,0,178.28389036743118,163.0581731896674,89.14194518371559,6.9613624
312,25,1,28,0,117.37043782163954,139.77929729866287,39.123479273879845,6.2868204
313,25,1,29,0,57.036012367544345,100.22318466620402,14.259003091886086,7.4278364
314,25,1,29,1,357.12530860224524,102.02278975380563,89.28132715056131,11.625799
315,25,1,30,0,-2.2958916173302555,111.19838317270683,0.4591783234660511,7.9144826
