epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,116.21,1.71301,1.6878,1.73554,1.52766,0.74429,0.21429,0.34357,0.09986,0.74429,0.21429,0.27056,0.13611,2.33471,2.39721,2.54197,1.99583,0.0017624,0.0017624,0.0017624
74,117.513,1.71574,1.76571,1.72029,1.58744,0.35112,0.28571,0.26853,0.08349,0.4444,0.35714,0.29129,0.09955,2.24071,2.92764,2.58438,1.82115,0.0017591,0.0017591,0.0017591
75,118.769,1.76642,1.63516,1.93893,1.56771,0.35112,0.28571,0.26853,0.08349,0.4444,0.35714,0.29129,0.09955,2.24071,2.92764,2.58438,1.82115,0.0017558,0.0017558,0.0017558
76,120.088,1.7555,2.13539,1.83453,1.52354,0.41817,0.28571,0.33328,0.09988,0.52853,0.35714,0.36145,0.1475,2.44828,2.59628,2.40323,1.98883,0.0017525,0.0017525,0.0017525
77,121.336,1.58566,1.77275,1.71756,1.44964,0.41817,0.28571,0.33328,0.09988,0.52853,0.35714,0.36145,0.1475,2.44828,2.59628,2.40323,1.98883,0.0017492,0.0017492,0.0017492
78,122.682,1.90812,2.10345,1.83587,1.58644,0.95579,0.28571,0.44931,0.16278,0.95579,0.28571,0.43073,0.16443,2.33301,2.22139,2.13847,2.04982,0.0017459,0.0017459,0.0017459
79,123.932,1.88683,2.40936,1.78255,1.64247,0.95579,0.28571,0.44931,0.16278,0.95579,0.28571,0.43073,0.16443,2.33301,2.22139,2.13847,2.04982,0.0017426,0.0017426,0.0017426
80,126.08,1.72957,1.74878,1.78052,1.5108,0.33481,0.57143,0.51869,0.13025,0.74155,0.35714,0.5112,0.19339,2.31916,2.01447,2.35987,2.09783,0.0017393,0.0017393,0.0017393
81,127.349,1.71318,1.6617,1.93675,1.49313,0.33481,0.57143,0.51869,0.13025,0.74155,0.35714,0.5112,0.19339,2.31916,2.01447,2.35987,2.09783,0.001736,0.001736,0.001736
82,128.681,1.57514,1.65909,1.74171,1.3832,0.56641,0.28571,0.29559,0.1027,0.7323,0.28571,0.37507,0.12814,2.4815,2.00369,2.52835,2.44363,0.0017327,0.0017327,0.0017327
83,129.9,1.56149,1.90258,1.60908,1.39255,0.56641,0.28571,0.29559,0.1027,0.7323,0.28571,0.37507,0.12814,2.4815,2.00369,2.52835,2.44363,0.0017294,0.0017294,0.0017294
84,131.263,1.45004,1.62689,1.59362,1.32558,0.17475,0.35714,0.19492,0.06278,0.72414,0.28571,0.36163,0.11224,2.61885,2.18046,2.66108,2.56401,0.0017261,0.0017261,0.0017261
85,132.525,1.76278,1.76767,1.7221,1.46989,0.17475,0.35714,0.19492,0.06278,0.72414,0.28571,0.36163,0.11224,2.61885,2.18046,2.66108,2.56401,0.0017228,0.0017228,0.0017228
86,133.897,1.60835,1.85325,1.65715,1.45239,0.42272,0.28571,0.29727,0.07441,0.58808,0.28571,0.35877,0.14312,2.55807,1.95946,2.30406,2.29847,0.0017195,0.0017195,0.0017195
87,135.116,1.53321,1.89914,1.65877,1.41837,0.42272,0.28571,0.29727,0.07441,0.58808,0.28571,0.35877,0.14312,2.55807,1.95946,2.30406,2.29847,0.0017162,0.0017162,0.0017162
88,136.461,1.64065,2.12249,1.72425,1.45116,0.57255,0.28571,0.35023,0.0987,0.63333,0.28571,0.37849,0.14263,2.40464,1.88263,2.26742,2.13796,0.0017129,0.0017129,0.0017129
89,137.71,1.50003,1.5666,1.57225,1.41671,0.57255,0.28571,0.35023,0.0987,0.63333,0.28571,0.37849,0.14263,2.40464,1.88263,2.26742,2.13796,0.0017096,0.0017096,0.0017096
90,139.042,1.53345,1.58023,1.6385,1.34428,0.60035,0.35714,0.33803,0.1124,0.93873,0.28571,0.38895,0.16122,2.25471,1.84271,2.27855,1.94145,0.0017063,0.0017063,0.0017063
91,141.431,1.51088,1.67333,1.62595,1.3851,0.60035,0.35714,0.33803,0.1124,0.93873,0.28571,0.38895,0.16122,2.25471,1.84271,2.27855,1.94145,0.001703,0.001703,0.001703
92,142.876,1.63636,1.77526,1.62626,1.47517,0.78761,0.35714,0.41777,0.11043,0.62918,0.28571,0.38921,0.1525,2.32306,1.93391,2.50552,2.15323,0.0016997,0.0016997,0.0016997
93,144.08,1.78452,1.96109,1.83257,1.52615,0.78761,0.35714,0.41777,0.11043,0.62918,0.28571,0.38921,0.1525,2.32306,1.93391,2.50552,2.15323,0.0016964,0.0016964,0.0016964
94,145.38,1.58139,1.6087,1.62086,1.40969,0.56393,0.5,0.43081,0.13945,0.53187,0.42857,0.39584,0.16455,2.26404,1.93351,2.4052,2.0887,0.0016931,0.0016931,0.0016931
95,146.58,1.77865,1.85719,1.7925,1.52732,0.56393,0.5,0.43081,0.13945,0.53187,0.42857,0.39584,0.16455,2.26404,1.93351,2.4052,2.0887,0.0016898,0.0016898,0.0016898
96,147.902,1.74747,1.6647,1.66059,1.41177,0.2567,0.35714,0.16944,0.06544,0.31796,0.42857,0.30547,0.12778,2.37459,2.04044,2.3828,1.97316,0.0016865,0.0016865,0.0016865
97,149.121,1.54678,1.84934,1.53001,1.36453,0.2567,0.35714,0.16944,0.06544,0.31796,0.42857,0.30547,0.12778,2.37459,2.04044,2.3828,1.97316,0.0016832,0.0016832,0.0016832
98,150.426,1.47346,1.34836,1.62464,1.31705,0.1303,0.35714,0.07899,0.03653,0.28959,0.28571,0.25393,0.09271,2.48472,1.96296,2.62552,2.01972,0.0016799,0.0016799,0.0016799
99,151.701,1.5367,1.82693,1.52965,1.42935,0.1303,0.35714,0.07899,0.03653,0.28959,0.28571,0.25393,0.09271,2.48472,1.96296,2.62552,2.01972,0.0016766,0.0016766,0.0016766
100,152.995,1.5473,1.7749,1.48849,1.38607,0.18946,0.28571,0.1201,0.05048,0.90204,0.21429,0.2991,0.10284,2.33772,2.08164,2.51323,1.95043,0.0016733,0.0016733,0.0016733
101,154.207,1.59862,1.76927,1.52741,1.41292,0.18946,0.28571,0.1201,0.05048,0.90204,0.21429,0.2991,0.10284,2.33772,2.08164,2.51323,1.95043,0.00167,0.00167,0.00167
102,156.589,1.47512,1.47683,1.54798,1.33216,0.36452,0.28571,0.3149,0.07464,0.36452,0.28571,0.28785,0.1111,2.41819,2.00014,2.11103,2.05711,0.0016667,0.0016667,0.0016667
103,158.193,1.52737,1.68841,1.36699,1.38711,0.36452,0.28571,0.3149,0.07464,0.36452,0.28571,0.28785,0.1111,2.41819,2.00014,2.11103,2.05711,0.0016634,0.0016634,0.0016634
104,159.603,1.4004,1.54543,1.48992,1.26497,0.46427,0.28571,0.33936,0.08273,0.32171,0.57143,0.3786,0.15607,2.53977,1.67378,2.25457,2.15747,0.0016601,0.0016601,0.0016601
105,160.838,1.82693,1.98099,1.74168,1.54679,0.46427,0.28571,0.33936,0.08273,0.32171,0.57143,0.3786,0.15607,2.53977,1.67378,2.25457,2.15747,0.0016568,0.0016568,0.0016568
106,162.164,1.57537,2.01099,1.55848,1.43032,0.53332,0.35714,0.38733,0.11223,0.53332,0.35714,0.40421,0.18322,2.71235,1.75803,2.0231,2.2949,0.0016535,0.0016535,0.0016535
107,163.384,1.42195,1.72428,1.51759,1.34995,0.53332,0.35714,0.38733,0.11223,0.53332,0.35714,0.40421,0.18322,2.71235,1.75803,2.0231,2.2949,0.0016502,0.0016502,0.0016502
108,164.67,1.73923,1.87526,1.67985,1.54569,0.52336,0.35714,0.4116,0.13663,0.62882,0.42857,0.45416,0.22596,2.60359,1.83121,1.97846,2.11207,0.0016469,0.0016469,0.0016469
109,165.916,1.38472,1.53686,1.38018,1.25491,0.52336,0.35714,0.4116,0.13663,0.62882,0.42857,0.45416,0.22596,2.60359,1.83121,1.97846,2.11207,0.0016436,0.0016436,0.0016436
110,167.278,1.51695,1.79685,1.52116,1.35568,0.95858,0.28571,0.41297,0.12478,0.67245,0.5,0.49622,0.20582,2.82465,2.01168,1.99227,2.41698,0.0016403,0.0016403,0.0016403
111,168.555,1.85509,2.35921,1.74526,1.54897,0.95858,0.28571,0.41297,0.12478,0.67245,0.5,0.49622,0.20582,2.82465,2.01168,1.99227,2.41698,0.001637,0.001637,0.001637
112,170.652,1.43567,1.73745,1.39499,1.31531,0.57555,0.21429,0.29587,0.09004,0.31869,0.36808,0.28559,0.15134,2.96535,2.14392,2.09606,2.53432,0.0016337,0.0016337,0.0016337
